,Año,Trimestre,Provincia,Accesos por cada 100 hogares,Accesos por cada 100 hogares posterior
960,2014,1,Buenos Aires,54.570072879439756,55.06141695143392
936,2014,2,Buenos Aires,55.06141695143392,56.754739164071026
912,2014,3,Buenos Aires,56.754739164071026,56.09433653019754
888,2014,4,Buenos Aires,56.09433653019754,56.37048433026737
864,2015,1,Buenos Aires,56.37048433026737,56.80280561439208
840,2015,2,Buenos Aires,56.80280561439208,57.68868105608009
816,2015,3,Buenos Aires,57.68868105608009,58.29182182733718
792,2015,4,Buenos Aires,58.29182182733718,57.33590782254113
768,2016,1,Buenos Aires,57.33590782254113,59.33852679105808
744,2016,2,Buenos Aires,59.33852679105808,60.14329545468815
720,2016,3,Buenos Aires,60.14329545468815,61.236587430356856
696,2016,4,Buenos Aires,61.236587430356856,58.57400244920328
672,2017,1,Buenos Aires,58.57400244920328,56.272144161691315
648,2017,2,Buenos Aires,56.272144161691315,55.62938339533962
624,2017,3,Buenos Aires,55.62938339533962,57.609615290258205
600,2017,4,Buenos Aires,57.609615290258205,62.62621166168454
576,2018,1,Buenos Aires,62.62621166168454,62.78226651094991
552,2018,2,Buenos Aires,62.78226651094991,64.44056759752046
528,2018,3,Buenos Aires,64.44056759752046,64.60284663484316
504,2018,4,Buenos Aires,64.60284663484316,66.24255522736811
480,2019,1,Buenos Aires,66.24255522736811,67.84713982374198
456,2019,2,Buenos Aires,67.84713982374198,69.35630106079125
432,2019,3,Buenos Aires,69.35630106079125,64.25205288245421
408,2019,4,Buenos Aires,64.25205288245421,64.32563101743429
384,2020,1,Buenos Aires,64.32563101743429,65.2205801358229
360,2020,2,Buenos Aires,65.2205801358229,67.65618983090923
336,2020,3,Buenos Aires,67.65618983090923,68.97702220170737
312,2020,4,Buenos Aires,68.97702220170737,69.10524076185938
288,2021,1,Buenos Aires,69.10524076185938,70.00330336027972
264,2021,2,Buenos Aires,70.00330336027972,71.68218940101933
240,2021,3,Buenos Aires,71.68218940101933,75.66410602338475
216,2021,4,Buenos Aires,75.66410602338475,76.07814661157262
192,2022,1,Buenos Aires,76.07814661157262,77.58
168,2022,2,Buenos Aires,77.58,78.11
144,2022,3,Buenos Aires,78.11,78.94
120,2022,4,Buenos Aires,78.94,79.0
96,2023,1,Buenos Aires,79.0,79.67
72,2023,2,Buenos Aires,79.67,80.64
48,2023,3,Buenos Aires,80.64,80.96
24,2023,4,Buenos Aires,80.96,81.1
0,2024,1,Buenos Aires,81.1,112.25412278926913
961,2014,1,Capital Federal,112.25412278926913,113.1433524754098
937,2014,2,Capital Federal,113.1433524754098,113.8005123324155
913,2014,3,Capital Federal,113.8005123324155,114.89676550801623
889,2014,4,Capital Federal,114.89676550801623,114.89699714890288
865,2015,1,Capital Federal,114.89699714890288,116.06627091860372
841,2015,2,Capital Federal,116.06627091860372,118.28921116431961
817,2015,3,Capital Federal,118.28921116431961,118.13036321153807
793,2015,4,Capital Federal,118.13036321153807,115.16005888884817
769,2016,1,Capital Federal,115.16005888884817,120.03953504825309
745,2016,2,Capital Federal,120.03953504825309,120.77287775101534
721,2016,3,Capital Federal,120.77287775101534,120.63133173632356
697,2016,4,Capital Federal,120.63133173632356,108.36920836560806
673,2017,1,Capital Federal,108.36920836560806,124.06139375642523
649,2017,2,Capital Federal,124.06139375642523,121.85832590969336
625,2017,3,Capital Federal,121.85832590969336,122.89742418734991
601,2017,4,Capital Federal,122.89742418734991,106.23567174586837
577,2018,1,Capital Federal,106.23567174586837,106.53494128146691
553,2018,2,Capital Federal,106.53494128146691,108.44591411021922
529,2018,3,Capital Federal,108.44591411021922,108.27314997057414
505,2018,4,Capital Federal,108.27314997057414,109.19616455883845
481,2019,1,Capital Federal,109.19616455883845,110.54556699485231
457,2019,2,Capital Federal,110.54556699485231,112.6453878037209
433,2019,3,Capital Federal,112.6453878037209,106.24546751041055
409,2019,4,Capital Federal,106.24546751041055,105.98017414181909
385,2020,1,Capital Federal,105.98017414181909,106.41480599073645
361,2020,2,Capital Federal,106.41480599073645,107.6759011657323
337,2020,3,Capital Federal,107.6759011657323,108.31107489043508
313,2020,4,Capital Federal,108.31107489043508,108.4199392232935
289,2021,1,Capital Federal,108.4199392232935,110.14440203212098
265,2021,2,Capital Federal,110.14440203212098,111.27105514250894
241,2021,3,Capital Federal,111.27105514250894,111.27002612891737
217,2021,4,Capital Federal,111.27002612891737,111.79786269174652
193,2022,1,Capital Federal,111.79786269174652,121.31
169,2022,2,Capital Federal,121.31,122.28
145,2022,3,Capital Federal,122.28,122.73
121,2022,4,Capital Federal,122.73,122.59
97,2023,1,Capital Federal,122.59,115.48
73,2023,2,Capital Federal,115.48,116.4
49,2023,3,Capital Federal,116.4,117.02
25,2023,4,Capital Federal,117.02,119.53
1,2024,1,Capital Federal,119.53,24.251751254585553
962,2014,1,Catamarca,24.251751254585553,24.703118860058403
938,2014,2,Catamarca,24.703118860058403,24.706121305327624
914,2014,3,Catamarca,24.706121305327624,25.513779082747998
890,2014,4,Catamarca,25.513779082747998,25.10946633078758
866,2015,1,Catamarca,25.10946633078758,25.45341804469818
842,2015,2,Catamarca,25.45341804469818,25.863781184637624
818,2015,3,Catamarca,25.863781184637624,26.23945178859185
794,2015,4,Catamarca,26.23945178859185,25.910217981190538
770,2016,1,Catamarca,25.910217981190538,26.074188059740646
746,2016,2,Catamarca,26.074188059740646,26.48067675746367
722,2016,3,Catamarca,26.48067675746367,26.543515589961913
698,2016,4,Catamarca,26.543515589961913,25.659350838021506
674,2017,1,Catamarca,25.659350838021506,25.97712106768351
650,2017,2,Catamarca,25.97712106768351,32.49092567790524
626,2017,3,Catamarca,32.49092567790524,28.620950093924897
602,2017,4,Catamarca,28.620950093924897,32.79361613741535
578,2018,1,Catamarca,32.79361613741535,32.8575008674866
554,2018,2,Catamarca,32.8575008674866,32.91594537411041
530,2018,3,Catamarca,32.91594537411041,32.225346166025346
506,2018,4,Catamarca,32.225346166025346,32.190488956121285
482,2019,1,Catamarca,32.190488956121285,32.13095022019278
458,2019,2,Catamarca,32.13095022019278,30.883614526737205
434,2019,3,Catamarca,30.883614526737205,36.43842912715547
410,2019,4,Catamarca,36.43842912715547,37.615427687460254
386,2020,1,Catamarca,37.615427687460254,45.43181818181818
362,2020,2,Catamarca,45.43181818181818,47.15709898417198
338,2020,3,Catamarca,47.15709898417198,49.40688354549741
314,2020,4,Catamarca,49.40688354549741,48.899092927848244
290,2021,1,Catamarca,48.899092927848244,52.34030966263861
266,2021,2,Catamarca,52.34030966263861,52.709793486001274
242,2021,3,Catamarca,52.709793486001274,55.2526999859741
218,2021,4,Catamarca,55.2526999859741,58.20635083561171
194,2022,1,Catamarca,58.20635083561171,62.4
170,2022,2,Catamarca,62.4,65.33
146,2022,3,Catamarca,65.33,65.77
122,2022,4,Catamarca,65.77,66.17
98,2023,1,Catamarca,66.17,67.42
74,2023,2,Catamarca,67.42,68.55
50,2023,3,Catamarca,68.55,68.63
26,2023,4,Catamarca,68.63,68.82
2,2024,1,Catamarca,68.82,20.71853886384081
963,2014,1,Chaco,20.71853886384081,20.95799636749445
