,Provincia,Muy_baja,Baja,Media,Alta,Muy_alta,Total_Mbps,Población,Mbps_por_persona,Diferencia_objetivo,Baja_Conectividad
0,BUENOS AIRES,34254,3146895,148310119,554654553,239644630,945790451,14495391.0,65.24766741373172,75.24766741373172,0
1,CABA,5342,614645,44721641,269911135,111874675,427127438,0.0,0.0,inf,0
2,CATAMARCA,193,45922,3689658,4395700,706400,8837873,307166.0,28.772302273038033,38.772302273038036,0
3,CHACO,520,155875,7580139,13694800,1362400,22793734,917019.0,24.856337763993984,34.856337763993984,0
4,CHUBUT,906,485317,2786710,174600,22098,3469631,482103.0,7.196866644679664,17.196866644679666,1
5,CORDOBA,8050,1373289,44452378,100868389,15705002,162407108,3085781.0,52.63079525086194,62.63079525086194,0
6,CORRIENTES,2676,240367,5707484,13153300,1192100,20295927,843213.0,24.069751059340877,34.069751059340874,0
7,ENTRE RIOS,4306,669429,9976718,24756850,2479500,37886803,1097083.0,34.53412640611513,44.53412640611513,0
8,FORMOSA,192,196257,1410020,4770900,399500,6776869,451778.0,15.000440481829571,25.00044048182957,1
9,JUJUY,1286,175629,3687608,2394830,441300,6700653,610401.0,10.977460718445743,20.97746071844574,1
10,LA PAMPA,1393,398519,2583587,949400,72500,4005399,301683.0,13.276846888952974,23.276846888952974,1
11,LA RIOJA,409,22485,3519247,3190100,257500,6989741,315217.0,22.174378285435115,32.17437828543511,0
12,MENDOZA,2800,341758,10577390,6540020,1186200,18648168,1637373.0,11.389077504026266,21.389077504026268,1
13,MISIONES,3189,342244,7485078,14626340,1989200,24446051,796397.0,30.695810004306896,40.69581000430689,0
14,NEUQUEN,939,274721,4161129,12376650,1836000,18649439,520875.0,35.80405855531558,45.80405855531558,0
15,RIO NEGRO,948,265697,5047432,8252748,881360,14448185,580654.0,24.882606509212028,34.882606509212025,0
16,SALTA,960,750641,5986035,13352740,1750799,21841175,1098052.0,19.89083850309457,29.89083850309457,1
17,SAN JUAN,1845,200069,1808471,865400,57600,2933385,615526.0,4.765655715599341,14.76565571559934,1
18,SAN LUIS,612,286434,2688579,434800,23958498,27368923,409796.0,66.78670118790814,76.78670118790814,0
19,SANTA CRUZ,389,123879,1185344,367750,71000,1748362,266539.0,6.559497859600284,16.559497859600285,1
20,SANTA FE,6617,1835093,33897538,72954970,8735523,117429741,3043476.0,38.584086419607054,48.584086419607054,0
21,SANTIAGO DEL ESTERO,960,584175,2427009,3917500,495800,7425444,663550.0,11.190481501017256,21.190481501017256,1
22,TIERRA DEL FUEGO,764,128654,852346,248000,1024,1230788,125823.0,9.781899970593612,19.781899970593614,1
23,TUCUMAN,940,275397,12152559,21460964,2564300,36454160,1173811.0,31.056243296408024,41.05624329640803,0
