,Provincia,Partido,Localidad,Población,ADSL,Cablemódem,Dial Up,Fibra óptica,Satelital,Wireless,Telefonía Fija,3G,4G,Link,Latitud,Longitud,Cantidad_Tecnologias
0,BUENOS AIRES,25 de Mayo,25 de Mayo,23408,1,1,0,0,1,1,1,1,1,6854100.0,-35.4339385892588,-60.1731209454056,7
1,BUENOS AIRES,25 de Mayo,Agustín Mosconi,280,0,0,0,0,0,0,1,0,0,6854010.0,-35.7392169542026,-60.5590634621789,1
2,BUENOS AIRES,25 de Mayo,Del Valle,899,1,0,0,0,1,0,0,1,0,6854020.0,-35.8973453887603,-60.7316089512944,3
3,BUENOS AIRES,25 de Mayo,Ernestina,145,1,0,0,0,0,0,1,0,0,6854030.0,-35.2702340519789,-59.5575034078873,2
4,BUENOS AIRES,25 de Mayo,Gobernador Ugarte,547,0,0,0,0,0,1,0,0,0,6854040.0,-35.1643973648093,-60.0813577815069,1
5,BUENOS AIRES,25 de Mayo,Lucas Monteverde,63,0,0,0,0,0,1,0,0,0,6854050.0,-35.4838272164734,-59.9880647932831,1
6,BUENOS AIRES,25 de Mayo,Norberto de la Riestra,4524,0,1,0,1,0,1,1,1,1,6854060.0,-35.2727788695321,-59.7719327250509,6
7,BUENOS AIRES,25 de Mayo,Pedernales,1432,1,0,0,1,0,1,1,0,1,6854070.0,-35.2666085074294,-59.6306574695384,5
8,BUENOS AIRES,25 de Mayo,San Enrique,279,0,0,0,0,0,0,1,0,0,6854080.0,-35.7785028686085,-60.3546454811901,1
9,BUENOS AIRES,25 de Mayo,Valdés,579,0,0,0,0,0,0,1,0,1,6854090.0,-35.6488128268597,-60.4672591673156,2
10,BUENOS AIRES,9 de Julio,12 de Octubre,219,0,0,0,0,0,1,1,0,0,6588030.0,-35.607730780146,-60.9182929927645,2
11,BUENOS AIRES,9 de Julio,9 de Julio,36494,1,1,1,1,0,1,1,1,1,6588100.0,-35.4447435053964,-60.8843433362719,8
12,BUENOS AIRES,Alberti,Villa María,24,0,0,0,0,0,0,0,0,0,6021060.0,-34.8881255447686,-60.3469385614883,0
13,BUENOS AIRES,Alberti,Villa Ortiz (Est. Coronel Mom),815,0,0,0,0,0,1,1,1,1,6021070.0,-34.8435329449862,-60.3048498633642,4
14,BUENOS AIRES,Almirante Brown,Adrogué,30271,1,1,1,1,1,1,1,1,1,6028010.0,-34.8015580737331,-58.3914677191541,9
15,BUENOS AIRES,Almirante Brown,Burzaco,92223,1,1,1,1,1,1,1,1,1,6028010.0,-34.8315415891783,-58.3986874871405,9
16,BUENOS AIRES,Almirante Brown,Claypole,44098,1,1,1,1,0,1,1,1,1,6028010.0,-34.8044759080477,-58.3447825531042,8
17,BUENOS AIRES,Almirante Brown,Don Orione,46366,0,1,0,0,0,1,0,1,1,6028010.0,-34.8210751643113,-58.3447457989957,4
18,BUENOS AIRES,Almirante Brown,Glew,61985,1,1,1,1,0,1,1,1,1,6028010.0,-34.8860114180413,-58.3818301842512,8
19,BUENOS AIRES,Almirante Brown,Jose Mármol,43494,0,1,1,1,0,1,1,1,1,6028010.0,-34.7851442510713,-58.3681475603787,7
20,BUENOS AIRES,General Pueyrredón,Mar del Plata,560913,1,1,1,1,1,1,1,1,1,6357110.0,-38.0120914785136,-57.6064947153173,9
21,BUENOS AIRES,General Pueyrredón,Punta Mogotes,0,0,0,0,0,0,0,0,1,1,6351020.0,-38.0833774287933,-57.5859350936487,2
22,BUENOS AIRES,General Pueyrredón,Sierra de los Padres,4249,1,0,0,1,0,1,1,1,1,6357120.0,-37.954166706805,-57.7715971022228,6
23,BUENOS AIRES,General Rodríguez,Barrio Ruta 24 Kilómetro 10,0,0,0,0,1,0,0,0,1,1,6364030.0,-34.6882159472973,-58.9574297137089,3
24,BUENOS AIRES,General Rodríguez,Country Club Bosque Real - Barrio Morabo,0,0,0,0,0,0,0,0,1,1,6364030.0,-34.555,-58.935,2
25,BUENOS AIRES,General Rodríguez,General Rodríguez,85315,1,1,1,1,1,1,1,1,1,6364030.0,-34.6079239021063,-58.950282039134,9
26,BUENOS AIRES,General San Martín,Barrio Parque General San Martin,421,0,0,1,1,0,1,1,0,1,6371010.0,-34.5673433766504,-58.5843112459936,5
27,RIO NEGRO,Pilcaniyeu,Ñirihuau,261,0,0,0,0,0,0,0,0,0,62070040.0,-41.0885592834836,-71.1369133751581,0
28,BUENOS AIRES,Leandro N. Alem,Juan Bautista Alberdi (Est. Alberdi),3404,1,1,0,1,0,1,1,1,1,6462040.0,-34.4387919326349,-61.8121893821736,7
29,BUENOS AIRES,Leandro N. Alem,Leandro N. Alem,2468,0,1,0,0,0,1,0,1,1,6462050.0,-34.5217246234597,-61.391182899484,4
30,BUENOS AIRES,Leandro N. Alem,Vedia,8827,1,0,0,1,1,1,1,1,1,6462060.0,-34.4973984349932,-61.5453447631479,7
31,BUENOS AIRES,Lincoln,Arenaza,1328,0,0,0,1,0,0,1,1,1,6469010.0,-34.9846043002155,-61.7729116988591,4
32,BUENOS AIRES,Lincoln,Bayauca,541,0,0,0,0,0,1,1,1,1,6469020.0,-34.8710511337121,-61.2895451446375,4
33,BUENOS AIRES,Lincoln,Bermúdez,72,0,0,0,0,0,0,0,0,0,6469030.0,-34.6966047108596,-61.3250128810539,0
34,BUENOS AIRES,Lincoln,Carlos Salas,234,0,0,0,0,0,1,0,0,0,6469040.0,-35.3913662871435,-61.9949102331933,1
35,BUENOS AIRES,Lincoln,Coronel Martínez de Hoz (Ap. Kilómetro 322),1041,1,0,0,0,0,0,1,1,1,6469050.0,-35.3321817215807,-61.6140851684372,4
36,BUENOS AIRES,Lincoln,El Triunfo,1543,0,0,1,1,0,0,1,1,1,6469060.0,-35.0882210775847,-61.5163333232822,5
37,BUENOS AIRES,Lincoln,Las Toscas,485,1,0,0,0,0,0,1,0,0,6469070.0,-35.3627586364746,-61.8061599731445,2
38,BUENOS AIRES,Lincoln,Lincoln,28051,1,1,1,1,0,0,1,1,1,6469080.0,-34.869042222818,-61.5291649669285,7
39,BUENOS AIRES,Lincoln,Pasteur,1962,0,0,0,0,1,1,1,1,1,6469090.0,-35.1426386337075,-62.2439028944602,5
40,CABA,COMUNA 01,CONSTITUCION,44107,1,1,1,1,1,1,1,1,1,2000010.0,-34.6250478642294,-58.384387226424,9
41,CATAMARCA,La Paz,Quirós,1156,0,0,0,0,0,1,1,0,1,10070120.0,-28.7883056058069,-65.1007302335708,3
42,CATAMARCA,La Paz,Ramblones,68,0,0,0,0,0,0,0,0,0,10070130.0,-29.1582844511715,-65.374945475853,0
43,CATAMARCA,La Paz,Recreo,11847,1,1,0,1,1,1,1,1,1,10070140.0,-29.2768611237227,-65.0565641552447,8
44,CATAMARCA,La Paz,San Antonio,1835,0,0,0,0,0,1,1,1,1,10070150.0,-28.9331053161662,-65.0949655869377,4
45,CATAMARCA,Paclín,Amadores,172,0,0,0,0,0,0,0,0,0,10077010.0,-28.2680363798746,-65.6462108146466,0
46,CATAMARCA,Paclín,El Rosario,110,0,0,0,0,0,0,0,0,0,10077020.0,-27.9877541032226,-65.688606939529,0
